Belgium_Confirmed,Belgium_Deaths,Canada_Confirmed,Canada_Deaths,China_Confirmed,China_Deaths,Finland_Confirmed,Finland_Deaths,France_Confirmed,France_Deaths,Germany_Confirmed,Germany_Deaths,Italy_Confirmed,Italy_Deaths,Spain_Confirmed,Spain_Deaths,Sweden_Confirmed,Sweden_Deaths,United Kingdom_Confirmed,United Kingdom_Deaths,US_Confirmed,US_Deaths,CE_Confirmed,CE_Deaths
1,0,1,0,548,17,1,0,2,0,1,0,2,0,1,0,1,0,2,0,1,0,9,0
1,0,1,0,643,18,1,0,3,0,4,0,2,0,1,0,1,0,2,0,1,0,1,0
1,0,2,0,920,26,1,0,3,0,4,0,2,0,1,0,1,0,2,0,2,0,9,0
1,0,2,0,1406,42,1,0,3,0,4,0,2,0,1,0,1,0,2,0,2,0,1,0
1,0,2,0,2075,56,1,0,4,0,5,0,2,0,1,0,1,0,2,0,5,0,48,0
1,0,4,0,2877,82,1,0,5,0,8,0,2,0,1,0,1,0,2,0,5,0,16,0
1,0,4,0,5509,131,1,0,5,0,10,0,2,0,1,0,1,0,2,0,5,0,41,0
1,0,4,0,6087,133,1,0,5,0,12,0,3,0,1,0,1,0,3,0,5,0,39,0
1,0,4,0,8141,171,1,0,6,0,12,0,3,0,2,0,1,0,3,0,5,0,21,0
1,0,4,0,9802,213,1,0,6,0,12,0,3,0,2,0,1,0,3,0,7,0,26,0
1,0,5,0,11891,259,1,0,6,0,12,0,3,0,2,0,1,0,8,0,8,0,26,3
1,0,5,0,16630,361,1,0,6,0,13,0,3,0,2,0,1,0,8,0,8,0,45,0
1,0,7,0,19716,425,1,0,6,0,13,0,3,0,2,0,1,0,9,0,11,0,40,1
1,0,7,0,23707,491,1,0,6,0,14,0,3,0,2,0,1,0,9,0,11,0,37,1
1,0,7,0,27440,563,1,0,6,0,14,0,3,0,2,0,1,0,9,0,11,0,23,0
1,0,7,0,30587,633,1,0,11,0,16,0,3,0,2,0,1,0,9,0,11,0,19,2
1,0,7,0,34110,718,1,0,11,0,16,0,3,0,2,0,1,0,9,0,11,0,44,2
1,0,7,0,36814,805,1,0,11,0,16,0,3,0,2,0,1,0,9,0,11,0,120,11
1,0,7,0,39829,905,1,0,11,0,16,0,3,0,2,0,1,0,9,0,11,0,93,2
1,0,7,0,42354,1012,1,0,11,0,16,0,3,0,2,0,1,0,9,0,11,0,87,1
1,0,7,0,44386,1112,1,0,11,0,16,0,3,0,2,0,1,0,9,0,12,0,218,12
1,0,7,0,44759,1117,1,0,11,0,16,0,20,1,2,0,1,0,9,0,12,0,83,1
1,0,8,0,59895,1369,1,0,12,1,16,0,62,2,2,0,1,0,9,0,13,0,143,4
1,0,8,0,66358,1521,1,0,12,1,16,0,155,3,2,0,1,0,9,0,13,0,205,17
1,0,8,0,68413,1663,1,0,12,1,16,0,229,7,6,0,1,0,13,0,13,0,51,0
1,0,8,0,70513,1766,1,0,12,1,16,0,322,10,13,0,1,0,13,0,13,0,113,10
2,0,9,0,72434,1864,1,0,12,1,16,0,453,12,15,0,2,0,13,0,13,0,110,7
8,0,9,0,74211,2003,1,0,12,1,16,0,655,17,32,0,7,0,15,0,13,0,79,2
13,0,9,0,74619,2116,2,0,12,1,16,0,888,21,45,0,7,0,20,0,13,0,189,24
23,0,10,0,75077,2238,2,0,12,1,17,0,1128,29,84,0,12,0,23,0,13,0,136,11
50,0,11,0,75550,2238,2,0,12,1,27,0,1694,34,120,0,14,0,36,0,15,0,220,13
109,0,11,0,77001,2443,3,0,12,1,46,0,2036,52,165,1,15,0,40,0,15,0,120,11
169,0,13,0,77022,2445,6,0,14,1,48,0,2502,79,222,2,21,0,51,0,15,0,335,20
200,0,14,0,77241,2595,6,0,18,2,79,0,3089,107,259,3,35,0,86,0,51,0,315,25
239,0,20,0,77754,2665,6,0,38,2,130,0,3858,148,400,5,94,0,116,0,51,0,246,9
267,0,24,0,78166,2717,6,0,57,2,159,0,4636,197,500,10,101,0,164,1,57,0,179,17
314,3,27,0,78600,2746,12,0,100,2,196,0,5883,233,673,17,161,0,207,2,58,0,229,15
314,3,30,0,78928,2790,15,0,130,2,262,0,7375,366,1073,28,203,0,274,2,60,0,400,18
559,3,33,0,79356,2837,15,0,191,3,482,0,9172,463,1695,35,248,0,322,3,68,1,586,32
689,4,37,0,79932,2872,23,0,204,4,670,0,10149,631,2277,54,355,0,384,7,74,1,419,22
886,4,49,0,80136,2914,30,0,288,4,799,0,12462,827,2277,55,500,1,459,7,98,6,546,33
1058,5,54,0,80261,2947,40,0,380,6,1040,0,15113,1016,5232,133,599,1,459,9,118,7,593,50
