Belgium_Confirmed,Belgium_Deaths,Canada_Confirmed,Canada_Deaths,China_Confirmed,China_Deaths,Finland_Confirmed,Finland_Deaths,France_Confirmed,France_Deaths,Germany_Confirmed,Germany_Deaths,Italy_Confirmed,Italy_Deaths,Spain_Confirmed,Spain_Deaths,Sweden_Confirmed,Sweden_Deaths,United Kingdom_Confirmed,United Kingdom_Deaths,US_Confirmed,US_Deaths,SP_Confirmed,SP_Deaths
1,0,1,0,548,17,1,0,2,0,1,0,2,0,1,0,1,0,2,0,1,0,1,0
0,0,0,0,95,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,277,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,486,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,669,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,2,0,802,26,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2632,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,578,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,2054,38,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1661,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
0,0,1,0,2089,46,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0
0,0,0,0,4739,102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,3086,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
0,0,0,0,3991,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3733,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,3147,70,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,3523,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,2704,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2525,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
0,0,0,0,2032,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,373,5,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,1
0,0,1,0,15136,252,0,0,1,1,0,0,42,1,0,0,0,0,0,0,1,0,65,2
0,0,0,0,6463,152,0,0,0,0,0,0,93,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2055,142,0,0,0,0,0,0,74,4,4,0,0,0,4,0,0,0,65,3
0,0,0,0,2100,103,0,0,0,0,0,0,93,3,7,0,0,0,0,0,0,0,0,2
1,0,1,0,1921,98,0,0,0,0,0,0,131,2,2,0,1,0,0,0,0,0,109,1
6,0,0,0,1777,139,0,0,0,0,0,0,202,5,17,0,5,0,2,0,0,0,0,1
5,0,0,0,408,113,1,0,0,0,0,0,233,4,13,0,0,0,5,0,0,0,0,2
10,0,1,0,458,122,0,0,0,0,1,0,240,8,39,0,5,0,3,0,0,0,0,0
27,0,1,0,473,0,0,0,0,0,10,0,566,5,36,0,2,0,13,0,2,0,139,2
59,0,0,0,1451,205,1,0,0,0,19,0,342,18,45,1,1,0,4,0,0,0,0,0
60,0,2,0,21,2,3,0,2,0,2,0,466,27,57,1,6,0,11,0,0,0,13,6
31,0,1,0,219,150,0,0,4,1,31,0,587,28,37,1,14,0,35,0,36,0,0,0
39,0,6,0,513,70,0,0,20,0,51,0,769,41,141,2,59,0,30,0,0,0,21,1
28,0,4,0,412,52,0,0,19,0,29,0,778,49,100,5,7,0,48,1,6,0,756,8
47,3,3,0,434,29,6,0,43,0,37,0,1247,36,173,7,60,0,43,1,1,0,0,5
0,0,3,0,328,44,3,0,30,0,66,0,1492,133,400,11,42,0,67,0,2,0,0,0
245,0,3,0,428,47,0,0,61,1,220,0,1797,97,622,7,45,0,48,1,8,1,17,7
130,1,4,0,576,35,8,0,13,1,188,0,977,168,582,19,107,0,62,4,6,0,0,10
197,0,12,0,204,42,7,0,84,0,129,0,2313,196,0,1,145,1,75,0,24,5,0,0
172,1,5,0,125,33,10,0,92,2,241,0,2651,189,2955,78,99,0,0,2,20,1,92,14
185,5,10,0,125,36,19,0,276,3,136,2,2547,250,1159,62,215,0,343,1,31,4,570,38
